feature,coef,std_err,tvalue,pvalue,variant,sig
const,0.024276663936317163,0.02416713961732666,1.004531952093825,0.3158451452090356,ols_baseline,
ret5_pre,0.017060752260598375,0.10441493864395163,0.16339378715505898,0.8703066270331764,ols_baseline,
ret20_pre,-0.005890722075813776,0.04896074330886017,-0.12031520924127317,0.9043053674802487,ols_baseline,
vol20_pre,-0.18688130609083806,0.4759833892474171,-0.3926214870361721,0.6948480217883891,ols_baseline,
abvol_pre,0.003555153521739995,0.013368834164745432,0.2659284630155102,0.7904574036170132,ols_baseline,
tk_AMD,0.012389851175702396,0.022624544626934015,0.5476287536392027,0.5843104256283381,ols_baseline,
tk_AMZN,-0.011054599489636406,0.021408648784375206,-0.5163613827746311,0.6059416906251696,ols_baseline,
tk_BA,-0.00855557489129001,0.02153036457406262,-0.3973725043930195,0.6913451005754119,ols_baseline,
tk_DIS,-0.010922185353959443,0.021425051182662722,-0.5097857298374969,0.6105362592441212,ols_baseline,
tk_GOOGL,-0.0021826703590603364,0.02138662899597633,-0.1020577090232866,0.9187717471608288,ols_baseline,
tk_GS,-0.004141725310450341,0.02161012898818927,-0.19165666770031528,0.8481269188263284,ols_baseline,
tk_INTC,-0.034435681149998794,0.021376003107526773,-1.6109504184097698,0.10812949115439204,ols_baseline,
tk_JPM,-0.011059022656780038,0.021446165972383004,-0.5156643229853363,0.6064280062219931,ols_baseline,
tk_MSFT,0.003371930375873463,0.02139418362271886,0.1576096772532489,0.874859049413014,ols_baseline,
tk_MU,-0.0009975316127931316,0.022378440496228245,-0.0445755642785412,0.964472099435044,ols_baseline,
tk_NFLX,-0.00696378456546339,0.02189234372318363,-0.3180922359668991,0.7506125816197545,ols_baseline,
tk_NVDA,0.02217636180798092,0.0218479937607541,1.0150296659191047,0.31082202871778164,ols_baseline,
tk_TSLA,-0.00493460919981164,0.02286439338168494,-0.21582069191323522,0.8292584740278383,ols_baseline,
tk_WMT,-0.012478350058245396,0.022767935231198223,-0.5480668287015629,0.5840099379295486,ols_baseline,
yr_2017,-0.009638958898858923,0.013831976068554958,-0.6968605823987603,0.48637188311256574,ols_baseline,
yr_2018,-0.023382413054490125,0.013597808845649784,-1.7195721251788765,0.0864311390420001,ols_baseline,*
yr_2019,-0.007834520861485837,0.01372376529219767,-0.5708725480710438,0.5684676399387019,ols_baseline,
yr_2020,-0.02003039308615058,0.014898954260942263,-1.344416039900225,0.17972081889725242,ols_baseline,
yr_2021,-0.02502775529196376,0.013808689121097884,-1.812464244250716,0.07080691330522647,ols_baseline,*
yr_2022,0.0,0.0,,,ols_baseline,
yr_2023,0.0,0.0,,,ols_baseline,
const,0.02268211285332623,0.03110773962679756,0.7291469301674003,0.46642896438164955,ols_vader,
ret5_pre,0.04288348027086816,0.10473554910193353,0.4094453186007738,0.6824785194111181,ols_vader,
ret20_pre,-0.00810730148550158,0.05027205924689175,-0.1612685377713634,0.871980586996311,ols_vader,
vol20_pre,-0.1702312514832994,0.4845104263446157,-0.3513469313088006,0.7255523060488251,ols_vader,
abvol_pre,-0.0010593745162021592,0.013418847651010108,-0.07894675785535239,0.9371228216218542,ols_vader,
post_count,-5.691970837449372e-07,3.0145486919134766e-05,-0.018881668266689727,0.9849469144070385,ols_vader,
mean_sentiment,0.0681221975851684,0.05391654973175054,1.263474720175805,0.20731049452156716,ols_vader,
median_sentiment,0.01958193049344725,0.02811249204557101,0.6965561950788454,0.48657091823720533,ols_vader,
std_sentiment,-1.636544590787048e-05,0.02887079988202791,-0.000566851142841317,0.9995480607565599,ols_vader,
frac_positive,-0.07177478620305261,0.03901981248025392,-1.839444672866494,0.06674795595843097,ols_vader,*
frac_negative,0.11023538932414295,0.04179440538353589,2.637563288974751,0.008745759863896184,ols_vader,***
tk_AMD,0.014272798668348475,0.022756263128203065,0.6272030951628181,0.5309598166382431,ols_vader,
tk_AMZN,-0.005028219933582837,0.021607704782199966,-0.2327049533611267,0.8161347819835201,ols_vader,
tk_BA,-0.019982663408451798,0.021788868865532808,-0.9171042118694746,0.3597577800162592,ols_vader,
tk_DIS,-0.014166756611889144,0.021356808863574526,-0.6633367701319601,0.507577996268899,ols_vader,
tk_GOOGL,-0.006854446426084827,0.021382438186619602,-0.32056430451294865,0.7487434861357765,ols_vader,
tk_GS,-0.004103468285798662,0.0215623849127968,-0.1903067913124649,0.8491857460326727,ols_vader,
tk_INTC,-0.04168551403553782,0.021388277046531897,-1.948988875768145,0.05214379986276764,ols_vader,*
tk_JPM,-0.01471728169723302,0.021612708804139527,-0.6809549802667118,0.4963775071579424,ols_vader,
tk_MSFT,0.0012714767644920145,0.021355829480390966,0.05953769043059138,0.9525598839929669,ols_vader,
tk_MU,-0.0021595343386519262,0.022443224521285908,-0.09622210643589789,0.923402581134164,ols_vader,
tk_NFLX,-0.006375387000477171,0.02182890103826079,-0.29206174828969433,0.7704229361660754,ols_vader,
tk_NVDA,0.021565488623091888,0.021788836319014727,0.9897494435841933,0.32302174556959173,ols_vader,
tk_TSLA,-0.0042969302772327906,0.022856205948396265,-0.18799840563802278,0.8509934485396952,ols_vader,
tk_WMT,-0.015690539342870017,0.022927705751368724,-0.6843484260056562,0.49423548830112773,ols_vader,
yr_2017,-0.00683128603877382,0.014402515729532252,-0.4743119998658511,0.635591128605661,ols_vader,
yr_2018,-0.01934727715379336,0.014039080451163973,-1.3781014519501016,0.16910564352092222,ols_vader,
yr_2019,-0.007357986101322982,0.015116160885678234,-0.48676288622293545,0.6267495058565811,ols_vader,
yr_2020,-0.02186777265771448,0.016417452365385322,-1.331983316962177,0.1837848535540566,ols_vader,
yr_2021,-0.026193139345222473,0.016056370862281562,-1.6313237636254065,0.10377594702446277,ols_vader,
yr_2022,0.0,0.0,,,ols_vader,
yr_2023,0.0,0.0,,,ols_vader,
const,0.010740285891054732,0.02713291233476607,0.3958397741658177,0.6924790266008121,ols_finbert,
ret5_pre,0.016031166442651373,0.10514854849195537,0.15246208029089317,0.8789156697317367,ols_finbert,
ret20_pre,-0.0020176453169883507,0.050480660101691596,-0.03996867935014859,0.9681422660478664,ols_finbert,
vol20_pre,-0.12875460186469978,0.4899564215190057,-0.2627878648176985,0.792878073943349,ols_finbert,
abvol_pre,0.005724479871526944,0.013531176778088601,0.42305853847070773,0.6725281119544755,ols_finbert,
post_count,-5.148479572045107e-06,3.040223931265233e-05,-0.16934540640572132,0.8656287209190219,ols_finbert,
mean_sentiment,0.067089770990857,0.0506188129008358,1.325392026128476,0.18595801111010465,ols_finbert,
median_sentiment,-0.07156459075988934,0.038190734811410956,-1.873873103339888,0.06183140828606482,ols_finbert,*
std_sentiment,0.008931103303856509,0.03048471683275901,0.2929698626643993,0.7697293229048073,ols_finbert,
frac_positive,0.012821357746960457,0.029404134675337576,0.4360392811598106,0.6630933359755123,ols_finbert,
frac_negative,0.020846579261521187,0.027504695590050518,0.7579280124467975,0.44903498001157643,ols_finbert,
tk_AMD,0.009043832786630743,0.022930054932249002,0.39440955607617967,0.6935334543037525,ols_finbert,
tk_AMZN,-0.013907180224953814,0.021507472053943055,-0.6466208669281591,0.5183268176396582,ols_finbert,
tk_BA,-0.010766583411586386,0.021748856946564282,-0.4950413457608037,0.6209003792866731,ols_finbert,
tk_DIS,-0.014323757402402423,0.021600895810508502,-0.663109415834233,0.507723399188984,ols_finbert,
tk_GOOGL,-0.002234706504814502,0.02147636756479952,-0.10405421205759491,0.9171895369433003,ols_finbert,
tk_GS,-0.005541641716044523,0.021799215585746188,-0.25421289560841015,0.799489415109828,ols_finbert,
tk_INTC,-0.0380475767586195,0.02153720212025138,-1.7665979334819657,0.07821998831516383,ols_finbert,*
tk_JPM,-0.01447013324219826,0.021623426165829972,-0.6691878119233678,0.50384356958569,ols_finbert,
tk_MSFT,-0.001969339700649005,0.021545073380651845,-0.09140556942440188,0.9272257954976333,ols_finbert,
tk_MU,-0.0029327405975378184,0.02253394724058796,-0.13014766415425832,0.8965288963607952,ols_finbert,
tk_NFLX,-0.009441577134031782,0.022028085910095443,-0.4286154127311043,0.6684827644950057,ols_finbert,
tk_NVDA,0.021640338832476957,0.021970392455321026,0.9849773451468714,0.32535680563594127,ols_finbert,
tk_TSLA,-0.002571521017612907,0.02305686464181818,-0.11152951875984672,0.9112642633120596,ols_finbert,
