,target_ret3
frac_negative,0.10276807700520403
frac_positive,-0.06344286988336222
std_sentiment,0.06331785636044265
ret5_pre,0.059679975380702494
ret20_pre,0.048366942940277415
vol20_pre,0.048135821425507916
mean_sentiment,-0.0363335673360587
abvol_pre,0.03428227092385636
median_sentiment,-0.019978592723520126
post_count,0.00021944987036312617
