feature,coef_ols_baseline,coef_ols_finbert,coef_ols_vader,pvalue_ols_baseline,pvalue_ols_finbert,pvalue_ols_vader
const,0.024276663936317163,0.010740285891054732,0.02268211285332623,0.3158451452090356,0.6924790266008121,0.46642896438164955
ret5_pre,0.017060752260598375,0.016031166442651373,0.04288348027086816,0.8703066270331764,0.8789156697317367,0.6824785194111181
ret20_pre,-0.005890722075813776,-0.0020176453169883507,-0.00810730148550158,0.9043053674802487,0.9681422660478664,0.871980586996311
vol20_pre,-0.18688130609083806,-0.12875460186469978,-0.1702312514832994,0.6948480217883891,0.792878073943349,0.7255523060488251
abvol_pre,0.003555153521739995,0.005724479871526944,-0.0010593745162021592,0.7904574036170132,0.6725281119544755,0.9371228216218542
post_count,,-5.148479572045107e-06,-5.691970837449372e-07,,0.8656287209190219,0.9849469144070385
mean_sentiment,,0.067089770990857,0.0681221975851684,,0.18595801111010465,0.20731049452156716
median_sentiment,,-0.07156459075988934,0.01958193049344725,,0.06183140828606482,0.48657091823720533
std_sentiment,,0.008931103303856509,-1.636544590787048e-05,,0.7697293229048073,0.9995480607565599
frac_positive,,0.012821357746960457,-0.07177478620305261,,0.6630933359755123,0.06674795595843097
frac_negative,,0.020846579261521187,0.11023538932414295,,0.44903498001157643,0.008745759863896184
tk_AMD,0.012389851175702396,0.009043832786630743,0.014272798668348475,0.5843104256283381,0.6935334543037525,0.5309598166382431
tk_AMZN,-0.011054599489636406,-0.013907180224953814,-0.005028219933582837,0.6059416906251696,0.5183268176396582,0.8161347819835201
tk_BA,-0.00855557489129001,-0.010766583411586386,-0.019982663408451798,0.6913451005754119,0.6209003792866731,0.3597577800162592
tk_DIS,-0.010922185353959443,-0.014323757402402423,-0.014166756611889144,0.6105362592441212,0.507723399188984,0.507577996268899
tk_GOOGL,-0.0021826703590603364,-0.002234706504814502,-0.006854446426084827,0.9187717471608288,0.9171895369433003,0.7487434861357765
tk_GS,-0.004141725310450341,-0.005541641716044523,-0.004103468285798662,0.8481269188263284,0.799489415109828,0.8491857460326727
tk_INTC,-0.034435681149998794,-0.0380475767586195,-0.04168551403553782,0.10812949115439204,0.07821998831516383,0.05214379986276764
tk_JPM,-0.011059022656780038,-0.01447013324219826,-0.01471728169723302,0.6064280062219931,0.50384356958569,0.4963775071579424
tk_MSFT,0.003371930375873463,-0.001969339700649005,0.0012714767644920145,0.874859049413014,0.9272257954976333,0.9525598839929669
tk_MU,-0.0009975316127931316,-0.0029327405975378184,-0.0021595343386519262,0.964472099435044,0.8965288963607952,0.923402581134164
tk_NFLX,-0.00696378456546339,-0.009441577134031782,-0.006375387000477171,0.7506125816197545,0.6684827644950057,0.7704229361660754
tk_NVDA,0.02217636180798092,0.021640338832476957,0.021565488623091888,0.31082202871778164,0.32535680563594127,0.32302174556959173
tk_TSLA,-0.00493460919981164,-0.002571521017612907,-0.0042969302772327906,0.8292584740278383,0.9112642633120596,0.8509934485396952
tk_WMT,-0.012478350058245396,-0.014673005428706094,-0.015690539342870017,0.5840099379295486,0.5211092677699324,0.49423548830112773
yr_2017,-0.009638958898858923,-0.010022304916353643,-0.00683128603877382,0.48637188311256574,0.4762752135114107,0.635591128605661
yr_2018,-0.023382413054490125,-0.02377943260355919,-0.01934727715379336,0.0864311390420001,0.08911341227479223,0.16910564352092222
yr_2019,-0.007834520861485837,-0.012722614165030042,-0.007357986101322982,0.5684676399387019,0.37157752537520206,0.6267495058565811
yr_2020,-0.02003039308615058,-0.024000554854650406,-0.02186777265771448,0.17972081889725242,0.12437850609828402,0.1837848535540566
yr_2021,-0.02502775529196376,-0.025403346371350794,-0.026193139345222473,0.07080691330522647,0.08650447841744911,0.10377594702446277
yr_2022,0.0,0.0,0.0,,,
yr_2023,0.0,0.0,0.0,,,
