alpha,val_year,RMSE,MAE,dir_acc,n,cv_rmse,variant
0.001,2019,0.0806281238125908,0.05507870269056483,0.5833333333333334,60,0.07089469229857721,ridge_baseline
0.0017782794100389228,2019,0.08062697069039926,0.05507733357158013,0.5833333333333334,60,0.07089401669871366,ridge_baseline
0.0031622776601683794,2019,0.08062492393046138,0.05507490328387912,0.5833333333333334,60,0.07089281708843435,ridge_baseline
0.005623413251903491,2019,0.08062129620626897,0.0550705953512354,0.5833333333333334,60,0.07089068949112233,ridge_baseline
0.01,2019,0.08061488260215803,0.05506297783497318,0.5833333333333334,60,0.07088692370457363,ridge_baseline
0.01778279410038923,2019,0.08060359380342871,0.05504956591685209,0.5833333333333334,60,0.07088028201720792,ridge_baseline
0.03162277660168379,2019,0.08058387522942063,0.05502612684318103,0.5833333333333334,60,0.07086863974122981,ridge_baseline
0.05623413251903491,2019,0.08054987327373955,0.054985676091441664,0.5833333333333334,60,0.07084844190851326,ridge_baseline
0.1,2019,0.08049245682349003,0.054917285101033136,0.5833333333333334,60,0.0708139848018856,ridge_baseline
0.1778279410038923,2019,0.08039855102226495,0.054805238596536965,0.5833333333333334,60,0.07075668702378544,ridge_baseline
0.31622776601683794,2019,0.08025161262537446,0.0546525412606575,0.55,60,0.07066472072235001,ridge_baseline
0.5623413251903491,2019,0.08003371953741639,0.05441950701323205,0.5833333333333334,60,0.07052329306278862,ridge_baseline
1.0,2019,0.07972867557236868,0.05408343630741746,0.6166666666666667,60,0.07031537627503157,ridge_baseline
1.7782794100389228,2019,0.0793268370722171,0.05365115318384691,0.6166666666666667,60,0.07002331628558545,ridge_baseline
3.1622776601683795,2019,0.07883488724049147,0.05308834605259225,0.6166666666666667,60,0.06963456192560645,ridge_baseline
5.623413251903491,2019,0.07828677637273627,0.052528630186012136,0.6166666666666667,60,0.06915472561387824,ridge_baseline
10.0,2019,0.07774306193014853,0.05197403312286519,0.6333333333333333,60,0.0686222154961763,ridge_baseline
17.78279410038923,2019,0.07727164155231735,0.05154182174866183,0.6333333333333333,60,0.06810379698108701,ridge_baseline
31.622776601683793,2019,0.07691320252263913,0.05141093899779662,0.6333333333333333,60,0.0676566666838841,ridge_baseline
56.23413251903491,2019,0.07665568130767185,0.05131462266064897,0.6333333333333333,60,0.06729166696821771,ridge_baseline
100.0,2019,0.07644869076628036,0.05124331630453534,0.6333333333333333,60,0.06698324090155461,ridge_baseline
177.82794100389228,2019,0.07624569299164502,0.05110893875015887,0.6333333333333333,60,0.06670727250722164,ridge_baseline
316.22776601683796,2019,0.07603403583829496,0.05092129078549314,0.6333333333333333,60,0.06646172510685935,ridge_baseline
562.341325190349,2019,0.07583236922709381,0.050742411118694326,0.6333333333333333,60,0.066258919293657,ridge_baseline
1000.0,2019,0.07566547364068026,0.050579406438316356,0.6333333333333333,60,0.06610766557929308,ridge_baseline
1778.2794100389228,2019,0.07554411242957501,0.050453848609762555,0.6333333333333333,60,0.06600501887172436,ridge_baseline
3162.2776601683795,2019,0.07546400178780192,0.05036889834127812,0.6333333333333333,60,0.06594014486520981,ridge_baseline
5623.413251903491,2019,0.07541442140656301,0.05033057876845852,0.6333333333333333,60,0.06590103974987588,ridge_baseline
10000.0,2019,0.07538493924427034,0.05030751308603651,0.6333333333333333,60,0.06587814594831873,ridge_baseline
17782.794100389227,2019,0.07536782039846054,0.05029402339544444,0.6333333333333333,60,0.06586497210131065,ridge_baseline
31622.776601683792,2019,0.07535801670560639,0.05028626590238098,0.6333333333333333,60,0.06585746653604234,ridge_baseline
56234.13251903491,2019,0.07535244652065194,0.05028184783474153,0.6333333333333333,60,0.06585321458758152,ridge_baseline
100000.0,2019,0.07534929588595983,0.05027934549677726,0.6333333333333333,60,0.06585081357208974,ridge_baseline
0.001,2020,0.06997769409651011,0.05384695063018921,0.4745762711864407,59,0.07089469229857721,ridge_baseline
0.0017782794100389228,2020,0.06997754847535287,0.05384672241114135,0.4745762711864407,59,0.07089401669871366,ridge_baseline
0.0031622776601683794,2020,0.06997728956526991,0.05384631673964317,0.4745762711864407,59,0.07089281708843435,ridge_baseline
0.005623413251903491,2020,0.06997682929241991,0.053845595863914526,0.4745762711864407,59,0.07089068949112233,ridge_baseline
0.01,2020,0.06997601124233212,0.05384431558046,0.4745762711864407,59,0.07088692370457363,ridge_baseline
0.01778279410038923,2020,0.0699745579004884,0.05384204397024046,0.4745762711864407,59,0.07088028201720792,ridge_baseline
0.03162277660168379,2020,0.06997197769012548,0.05383802008228534,0.4745762711864407,59,0.07086863974122981,ridge_baseline
0.05623413251903491,2020,0.0699674020897217,0.053830911733065055,0.4745762711864407,59,0.07084844190851326,ridge_baseline
0.1,2020,0.0699593022960294,0.05381840864833282,0.4745762711864407,59,0.0708139848018856,ridge_baseline
0.1778279410038923,2020,0.06994499951474302,0.053796552295835263,0.4745762711864407,59,0.07075668702378544,ridge_baseline
0.31622776601683794,2020,0.06991981922992901,0.05375871866246653,0.4745762711864407,59,0.07066472072235001,ridge_baseline
0.5623413251903491,2020,0.06987562744420696,0.05370343889766297,0.4745762711864407,59,0.07052329306278862,ridge_baseline
1.0,2020,0.06979838567926298,0.05360865546099215,0.4745762711864407,59,0.07031537627503157,ridge_baseline
1.7782794100389228,2020,0.06966478360518501,0.053452459082783586,0.4745762711864407,59,0.07002331628558545,ridge_baseline
3.1622776601683795,2020,0.06944041671308937,0.05318866549095545,0.4745762711864407,59,0.06963456192560645,ridge_baseline
5.623413251903491,2020,0.0690871980201604,0.05278908272593556,0.4745762711864407,59,0.06915472561387824,ridge_baseline
10.0,2020,0.06858764281350051,0.052227348110392986,0.4745762711864407,59,0.0686222154961763,ridge_baseline
17.78279410038923,2020,0.06797039984730306,0.05149196395810387,0.4745762711864407,59,0.06810379698108701,ridge_baseline
31.622776601683793,2020,0.06729943417415139,0.05064558001450765,0.4745762711864407,59,0.0676566666838841,ridge_baseline
56.23413251903491,2020,0.06663461516754784,0.049898694278024236,0.4745762711864407,59,0.06729166696821771,ridge_baseline
100.0,2020,0.0660159772459455,0.04933101647606511,0.4745762711864407,59,0.06698324090155461,ridge_baseline
177.82794100389228,2020,0.06547548534190871,0.04888062978859264,0.4745762711864407,59,0.06670727250722164,ridge_baseline
316.22776601683796,2020,0.06504144650405462,0.04855602810722462,0.4745762711864407,59,0.06646172510685935,ridge_baseline
562.341325190349,2020,0.06472639063794096,0.04833202187067999,0.4745762711864407,59,0.066258919293657,ridge_baseline
1000.0,2020,0.06451881345734366,0.048183923723559646,0.4745762711864407,59,0.06610766557929308,ridge_baseline
1778.2794100389228,2020,0.06439179330979564,0.048087011040259524,0.4745762711864407,59,0.06600501887172436,ridge_baseline
3162.2776601683795,2020,0.06431752192636471,0.04802701032966388,0.4745762711864407,59,0.06594014486520981,ridge_baseline
5623.413251903491,2020,0.06427508421272371,0.04799124277708596,0.4745762711864407,59,0.06590103974987588,ridge_baseline
10000.0,2020,0.06425107723564415,0.04797042682475593,0.4745762711864407,59,0.06587814594831873,ridge_baseline
17782.794100389227,2020,0.0642375489065565,0.04795848680193936,0.4745762711864407,59,0.06586497210131065,ridge_baseline
31622.776601683792,2020,0.06422993600114048,0.04795169599942996,0.4745762711864407,59,0.06585746653604234,ridge_baseline
56234.13251903491,2020,0.06422565394908979,0.04794785265033651,0.4745762711864407,59,0.06585321458758152,ridge_baseline
100000.0,2020,0.06422324578861131,0.047945683518977045,0.4745762711864407,59,0.06585081357208974,ridge_baseline
0.001,2021,0.06083043992837545,0.05112037278864258,0.4262295081967213,61,0.07089469229857721,ridge_baseline
0.0017782794100389228,2021,0.0608297819035872,0.05111975280442364,0.4262295081967213,61,0.07089401669871366,ridge_baseline
0.0031622776601683794,2021,0.06082861288622565,0.051118651209160586,0.4262295081967213,61,0.07089281708843435,ridge_baseline
0.005623413251903491,2021,0.0608265376221009,0.05111669513335012,0.4262295081967213,61,0.07089068949112233,ridge_baseline
0.01,2021,0.060822858459498017,0.05111322570420853,0.4262295081967213,61,0.07088692370457363,ridge_baseline
0.01778279410038923,2021,0.06081635102888196,0.05110708433432452,0.4262295081967213,61,0.07088028201720792,ridge_baseline
0.03162277660168379,2021,0.060804888030078254,0.051096251039211255,0.4262295081967213,61,0.07086863974122981,ridge_baseline
0.05623413251903491,2021,0.060784836970140914,0.05107725564278594,0.4262295081967213,61,0.07084844190851326,ridge_baseline
0.1,2021,0.06075017490603337,0.05104428394469371,0.4262295081967213,61,0.0708139848018856,ridge_baseline
0.1778279410038923,2021,0.06069138293090843,0.050987983525717824,0.4262295081967213,61,0.07075668702378544,ridge_baseline
0.31622776601683794,2021,0.06059447710214021,0.050894214619937435,0.4262295081967213,61,0.07066472072235001,ridge_baseline
0.5623413251903491,2021,0.0604408536902787,0.05074330692254631,0.4262295081967213,61,0.07052329306278862,ridge_baseline
1.0,2021,0.060208465562929483,0.050510293614777345,0.4262295081967213,61,0.07031537627503157,ridge_baseline
1.7782794100389228,2021,0.05987488335318414,0.05016629499464708,0.4262295081967213,61,0.07002331628558545,ridge_baseline
3.1622776601683795,2021,0.05942653750165589,0.04968397990640554,0.4262295081967213,61,0.06963456192560645,ridge_baseline
5.623413251903491,2021,0.058881531140317356,0.04905546744044267,0.4262295081967213,61,0.06915472561387824,ridge_baseline
10.0,2021,0.058313859946876066,0.04836312443145334,0.4262295081967213,61,0.0686222154961763,ridge_baseline
17.78279410038923,2021,0.05783384255471804,0.04785088297890289,0.4098360655737705,61,0.06810379698108701,ridge_baseline
31.622776601683793,2021,0.057513271242889595,0.04742766556584806,0.39344262295081966,61,0.0676566666838841,ridge_baseline
56.23413251903491,2021,0.057336305385006794,0.047120453534891193,0.39344262295081966,61,0.06729166696821771,ridge_baseline
100.0,2021,0.05723452415302708,0.046933424217227675,0.39344262295081966,61,0.06698324090155461,ridge_baseline
177.82794100389228,2021,0.05715024537218645,0.04679378334695695,0.39344262295081966,61,0.06670727250722164,ridge_baseline
316.22776601683796,2021,0.057062733721175075,0.04668064445215888,0.39344262295081966,61,0.06646172510685935,ridge_baseline
562.341325190349,2021,0.05697716871793612,0.04659073391365224,0.39344262295081966,61,0.066258919293657,ridge_baseline
1000.0,2021,0.05690464075677022,0.04652193043754414,0.39344262295081966,61,0.06610766557929308,ridge_baseline
1778.2794100389228,2021,0.056850767814419736,0.04647301654008675,0.39344262295081966,61,0.06600501887172436,ridge_baseline
3162.2776601683795,2021,0.05681457890483484,0.04644083161673849,0.39344262295081966,61,0.06594014486520981,ridge_baseline
5623.413251903491,2021,0.05679189350961273,0.046420859522680526,0.39344262295081966,61,0.06590103974987588,ridge_baseline
10000.0,2021,0.05677828924769575,0.04640894420987585,0.39344262295081966,61,0.06587814594831873,ridge_baseline
17782.794100389227,2021,0.056770348298869004,0.04640200811218036,0.39344262295081966,61,0.06586497210131065,ridge_baseline
31622.776601683792,2021,0.05676578639190808,0.046398029367817284,0.39344262295081966,61,0.06585746653604234,ridge_baseline
56234.13251903491,2021,0.05676318972718702,0.0463957664867581,0.39344262295081966,61,0.06585321458758152,ridge_baseline
100000.0,2021,0.05676171945873893,0.04639448579067306,0.39344262295081966,61,0.06585081357208974,ridge_baseline
0.001,2019,0.08009462463011818,0.05778406023236723,0.5666666666666667,60,0.07297305655148598,ridge_sentiment
0.0017782794100389228,2019,0.08009344209094432,0.05778266777690481,0.5666666666666667,60,0.07297192749367769,ridge_sentiment
0.0031622776601683794,2019,0.08009134292528823,0.05778019484713321,0.5666666666666667,60,0.0729699229487592,ridge_sentiment
0.005623413251903491,2019,0.08008762171523988,0.05777580749238876,0.5666666666666667,60,0.07296636848807904,ridge_sentiment
0.01,2019,0.08008104095867047,0.05776803750767252,0.5666666666666667,60,0.07296007957435172,ridge_sentiment
0.01778279410038923,2019,0.08006945215716527,0.05775431963438054,0.5666666666666667,60,0.07294899548066386,ridge_sentiment
0.03162277660168379,2019,0.08004919198361783,0.057730230174828284,0.5666666666666667,60,0.07292959057219538,ridge_sentiment
0.05623413251903491,2019,0.08001420446695416,0.057688306866788185,0.5666666666666667,60,0.07289600501542416,ridge_sentiment
0.1,2019,0.07995498019722458,0.05761640055531246,0.5666666666666667,60,0.0728389669318655,ridge_sentiment
0.1778279410038923,2019,0.07985775494551638,0.057495751167757084,0.55,60,0.07274494739185093,ridge_sentiment
0.31622776601683794,2019,0.07970484131839907,0.05730577229505951,0.55,60,0.07259655515129483,ridge_sentiment
0.5623413251903491,2019,0.07947677458976148,0.05703201718096748,0.55,60,0.07237515168262579,ridge_sentiment
1.0,2019,0.07915583526917895,0.05662022071264259,0.55,60,0.0720647647796592,ridge_sentiment
1.7782794100389228,2019,0.0787307568583593,0.05602514091210647,0.55,60,0.07165438848173493,ridge_sentiment
3.1622776601683795,2019,0.07820535587878576,0.05528891952691838,0.55,60,0.07113960455838532,ridge_sentiment
5.623413251903491,2019,0.07761518035195546,0.054376544970473624,0.55,60,0.07053074273638787,ridge_sentiment
10.0,2019,0.07704538949627678,0.05341959347858903,0.5666666666666667,60,0.06986499827244931,ridge_sentiment
17.78279410038923,2019,0.07661213974343752,0.05301429097262424,0.55,60,0.06919781750689152,ridge_sentiment
31.622776601683793,2019,0.07638753292169582,0.05278761970434462,0.6,60,0.06856698222293146,ridge_sentiment
56.23413251903491,2019,0.07633849710113538,0.0526084287706656,0.5833333333333334,60,0.06797501541435606,ridge_sentiment
100.0,2019,0.07635033445265861,0.052354910559281,0.6,60,0.06741676653295586,ridge_sentiment
177.82794100389228,2019,0.07630981934967374,0.051934127940008915,0.6333333333333333,60,0.06691080948719488,ridge_sentiment
316.22776601683796,2019,0.07617390033394449,0.05144554385185818,0.6,60,0.06649444101465157,ridge_sentiment
562.341325190349,2019,0.07597559585454779,0.051000688496668424,0.6,60,0.0661953059162439,ridge_sentiment
1000.0,2019,0.07577646333329761,0.050713043795147364,0.6333333333333333,60,0.06601165470161725,ridge_sentiment
1778.2794100389228,2019,0.07561791337954774,0.05053418441590081,0.6333333333333333,60,0.06591581127666998,ridge_sentiment
3162.2776601683795,2019,0.07550909126404264,0.05041607465293127,0.6333333333333333,60,0.06587286994784743,ridge_sentiment
5623.413251903491,2019,0.07544080016349443,0.05034493883725739,0.6333333333333333,60,0.06585601889391099,ridge_sentiment
10000.0,2019,0.07540005486035582,0.05031282624367505,0.6333333333333333,60,0.06585011020956727,ridge_sentiment
