metric,raw,adapted,delta
mean_compound,0.2772694230079651,0.29871389269828796,0.021444469690322876
median_compound,0.17790000140666962,0.25,0.07209999859333038
std_compound,0.5473567843437195,0.5478411912918091,0.0004844069480895996
frac_positive,0.5200058128269716,0.5424336368920751,0.022427824065103574
frac_neutral,0.29858554543693083,0.2829877930633598,-0.015597752373571028
frac_negative,0.18140864173609766,0.174578570044565,-0.006830071691532658
