variant,model,sentiment,alpha,train_RMSE,train_MAE,train_dir_acc,train_n,test_RMSE,test_MAE,test_dir_acc,test_n
ols_baseline,OLS,False,,0.07148104966973179,0.05109861384669607,0.5527777777777778,360,0.09493397416417648,0.0686689193610495,0.5733333333333334,75
ols_sentiment,OLS,True,,0.07022888057839081,0.05025409543259405,0.6111111111111112,360,0.09356188728820862,0.06769872073771298,0.5466666666666666,75
ridge_baseline,Ridge,False,100000.0,0.07308497841144956,0.052372961622783286,0.4888888888888889,360,0.09481365696037786,0.07010777723680525,0.5333333333333333,75
ridge_sentiment,Ridge,True,56234.13251903491,0.07307380142096687,0.052362420676673536,0.4888888888888889,360,0.09479745444261266,0.07009546022584366,0.5333333333333333,75
