feature,coef,num_scale
abvol_pre,0.00018400291719768806,0.3380750938954629
frac_negative,0.0004732981366841339,0.24179615965578133
frac_positive,-0.00017002354837079324,0.18692870631858177
mean_sentiment,-0.00034242326016362286,0.2196007645718636
median_sentiment,-0.0006248292577223444,0.24790192043121284
post_count,-0.00023314587261085633,147.23926460583354
ret20_pre,-9.869578730715974e-05,0.09652769071820769
ret5_pre,-3.226437746734759e-06,0.04431743555810286
std_sentiment,-2.3023527110803723e-06,0.14928975076008455
tk_AMD,0.0001125434721569615,
tk_AMZN,-4.7911214474487834e-05,
tk_BA,-3.242513062778957e-05,
tk_DIS,-4.15781075283581e-05,
tk_GOOGL,2.5437711314335254e-05,
tk_GS,1.2942288108073214e-05,
tk_INTC,-0.00022232009848791238,
tk_JPM,-4.5790224148711325e-05,
tk_MSFT,6.558634651874407e-05,
tk_MU,1.2618415570081309e-05,
tk_NFLX,-2.209533185014361e-05,
tk_NVDA,0.00019906892566265745,
tk_TSLA,-2.235896190561583e-05,
tk_WMT,-3.357660226183691e-05,
vol20_pre,-9.779297545891541e-05,0.01137216326338127
yr_2017,0.00011306561303277369,
yr_2018,-0.0001691400638474017,
yr_2019,0.00010566134586083569,
yr_2020,-0.00013887615323236938,
yr_2021,-0.0001840692901330885,
yr_2022,0.0,
yr_2023,0.0,
