feature,coef,pvalue
const,0.024276663936317163,0.3158451452090356
ret5_pre,0.017060752260598375,0.8703066270331764
ret20_pre,-0.005890722075813776,0.9043053674802487
vol20_pre,-0.18688130609083806,0.6948480217883891
abvol_pre,0.003555153521739995,0.7904574036170132
tk_AMD,0.012389851175702396,0.5843104256283381
tk_AMZN,-0.011054599489636406,0.6059416906251696
tk_BA,-0.00855557489129001,0.6913451005754119
tk_DIS,-0.010922185353959443,0.6105362592441212
tk_GOOGL,-0.0021826703590603364,0.9187717471608288
tk_GS,-0.004141725310450341,0.8481269188263284
tk_INTC,-0.034435681149998794,0.10812949115439204
tk_JPM,-0.011059022656780038,0.6064280062219931
tk_MSFT,0.003371930375873463,0.874859049413014
tk_MU,-0.0009975316127931316,0.964472099435044
tk_NFLX,-0.00696378456546339,0.7506125816197545
tk_NVDA,0.02217636180798092,0.31082202871778164
tk_TSLA,-0.00493460919981164,0.8292584740278383
tk_WMT,-0.012478350058245396,0.5840099379295486
yr_2017,-0.009638958898858923,0.48637188311256574
yr_2018,-0.023382413054490125,0.0864311390420001
yr_2019,-0.007834520861485837,0.5684676399387019
yr_2020,-0.02003039308615058,0.17972081889725242
yr_2021,-0.02502775529196376,0.07080691330522647
yr_2022,0.0,
yr_2023,0.0,
