feature,mean,median,std
post_count,48.705882352941174,20.0,137.78452752989745
mean_sentiment,0.29944095799000936,0.2714706063270569,0.2822833911103202
median_sentiment,0.31476200026843476,0.22630000114440918,0.3947883208674204
std_sentiment,0.492050486704992,0.506668210029602,0.1663386589240556
frac_positive,0.5555948625824525,0.55,0.22192470839635334
frac_negative,0.18998490844458013,0.16666666666666666,0.1672210452611417
