feature,coef,pvalue
const,0.010740285891054732,0.6924790266008121
ret5_pre,0.016031166442651373,0.8789156697317367
ret20_pre,-0.0020176453169883507,0.9681422660478664
vol20_pre,-0.12875460186469978,0.792878073943349
abvol_pre,0.005724479871526944,0.6725281119544755
post_count,-5.148479572045107e-06,0.8656287209190219
mean_sentiment,0.067089770990857,0.18595801111010465
median_sentiment,-0.07156459075988934,0.06183140828606482
std_sentiment,0.008931103303856509,0.7697293229048073
frac_positive,0.012821357746960457,0.6630933359755123
frac_negative,0.020846579261521187,0.44903498001157643
tk_AMD,0.009043832786630743,0.6935334543037525
tk_AMZN,-0.013907180224953814,0.5183268176396582
tk_BA,-0.010766583411586386,0.6209003792866731
tk_DIS,-0.014323757402402423,0.507723399188984
tk_GOOGL,-0.002234706504814502,0.9171895369433003
tk_GS,-0.005541641716044523,0.799489415109828
tk_INTC,-0.0380475767586195,0.07821998831516383
tk_JPM,-0.01447013324219826,0.50384356958569
tk_MSFT,-0.001969339700649005,0.9272257954976333
tk_MU,-0.0029327405975378184,0.8965288963607952
tk_NFLX,-0.009441577134031782,0.6684827644950057
tk_NVDA,0.021640338832476957,0.32535680563594127
tk_TSLA,-0.002571521017612907,0.9112642633120596
tk_WMT,-0.014673005428706094,0.5211092677699324
yr_2017,-0.010022304916353643,0.4762752135114107
yr_2018,-0.02377943260355919,0.08911341227479223
yr_2019,-0.012722614165030042,0.37157752537520206
yr_2020,-0.024000554854650406,0.12437850609828402
yr_2021,-0.025403346371350794,0.08650447841744911
yr_2022,0.0,
yr_2023,0.0,
