variant,model,sentiment,alpha,train_RMSE,train_MAE,train_dir_acc,test_RMSE,test_MAE,test_dir_acc,test_n
ols_baseline,OLS,False,,0.07148104966973179,0.05109861384669607,0.5527777777777778,0.09493397416417648,0.0686689193610495,0.5733333333333334,75
ols_mean_sent,OLS,True,,0.07146476671626592,0.05110821230720226,0.5444444444444444,0.09453394957920767,0.06847800232078888,0.5733333333333334,75
ridge_baseline,Ridge,False,100000.0,0.07308497841144956,0.052372961622783286,0.4888888888888889,0.09481365696037786,0.07010777723680525,0.5333333333333333,75
ridge_mean_sent,Ridge,True,100000.0,0.07308447859725066,0.052372460582052464,0.4888888888888889,0.09481161934522513,0.07010628102583803,0.5333333333333333,75
