variant,n_train,n_test,n_params,r2,r2_adj,f_stat,f_pvalue,train_RMSE,train_MAE,train_dir_acc,test_RMSE,test_MAE,test_dir_acc
ols_baseline,360,75,26,0.04344028174305903,-0.022038508494767184,0.6634252341144209,0.8803353335783896,0.07148104966973179,0.05109861384669607,0.5527777777777778,0.09493397416417648,0.0686689193610495,0.5733333333333334
ols_vader,360,75,32,0.07665981371231179,-0.004482202658424361,0.9447610145902056,0.5511325301251542,0.07022888057839081,0.05025409543259405,0.6111111111111112,0.09356188728820862,0.06769872073771298,0.5466666666666666
ols_finbert,360,75,32,0.059413232994697474,-0.023244391984556412,0.7187870811629248,0.8580758617586332,0.07088173009715698,0.05059096118725867,0.5722222222222222,0.0952152474670369,0.068894629582215,0.5733333333333334
